# Boundary and initial conditions by
# McGuffie and Henderson-Sellers (1987)
# The latitude zones run from north to south
Zone   s      asfc   ti
"80-90"  0.500  0.500  -16.9
"70-80"  0.531  0.500  -12.3
"60-70"  0.624  0.452   -5.1
"50-60"  0.770  0.407    2.2
"40-50"  0.892  0.357    8.8
"30-40"  1.021  0.309   16.2
"20-30"  1.120  0.272   22.9
"10-20"  1.189  0.248   26.1
" 0-10"  1.219  0.254   26.4
" 0-10"  1.219  0.254   26.4
"10-20"  1.189  0.248   26.1
"20-30"  1.120  0.272   22.9
"30-40"  1.021  0.309   16.2
"40-50"  0.892  0.357    8.8
"50-60"  0.770  0.407    2.2
"60-70"  0.624  0.452   -5.1
"70-80"  0.531  0.500  -12.3
"80-90"  0.500  0.500  -16.9
